date,rf
2020-11-10,2.583988661575276e-05
2020-11-11,2.778410638004658e-06
2020-11-12,2.7784029184019232e-06
2020-11-13,2.472771727046741e-05
2020-11-16,2.500481342648797e-06
2020-11-17,2.5004750903168116e-06
2020-11-18,2.500468837984826e-06
2020-11-19,4.306352230698529e-05
2020-11-20,1.9447204866462897e-06
2020-11-23,-1.7224566677187525e-05
2020-11-24,-1.6669222614118517e-05
2020-11-25,2.5004250723270616e-06
2020-11-27,2.50041256810718e-06
2020-11-30,1.9725328961328614e-05
2020-12-01,-2.2504500900244473e-05
2020-12-02,2.5005563737412473e-06
2020-12-03,2.6672534624516686e-05
2020-12-04,-2.167085636572974e-05
2020-12-07,2.5560923349488007e-05
2020-12-08,-2.0559347613025025e-05
2020-12-09,2.5005126050858806e-05
2020-12-10,2.222622293990284e-06
2020-12-11,2.222617354386003e-06
2020-12-14,-1.8892121540714513e-05
2020-12-15,2.3337767509179486e-05
2020-12-16,-1.8336389398077024e-05
2020-12-17,2.2781992446319066e-05
2020-12-18,2.222582774713544e-06
2020-12-21,-1.694708065691497e-05
2020-12-22,2.5004313244370024e-06
2020-12-23,2.5004250723270616e-06
2020-12-24,2.500418819995076e-06
2020-12-28,-3.194947648710311e-05
2020-12-29,2.000378960698157e-05
2020-12-30,3.611723097507458e-05
2020-12-31,-1.4168555807381189e-05
2021-01-04,2.500543868189098e-06
2021-01-05,2.500537615635068e-06
2021-01-06,2.500531362858993e-06
2021-01-07,2.500525110304963e-06
2021-01-08,2.5283024005284815e-05
2021-01-11,2.222617354386003e-06
2021-01-12,-1.9447858624066505e-05
2021-01-13,2.5004875949807825e-06
2021-01-14,2.500481342648797e-06
2021-01-15,2.5004750903168116e-06
2021-01-19,2.5004500809888697e-06
2021-01-20,2.194834027480219e-05
2021-01-21,-1.694708065691497e-05
2021-01-22,2.1392579108825416e-05
2021-01-25,-1.583565589613478e-05
2021-01-26,3.8061740588180015e-05
2021-01-27,-1.555749159898312e-05
2021-01-28,1.9447167047825786e-05
2021-01-29,1.8891166324142006e-05
2021-02-01,-2.2781156982731865e-05
2021-02-02,1.944777217488536e-06
2021-02-03,7.362356576434692e-05
2021-02-04,1.111217294180733e-06
2021-02-05,2.444675330459667e-05
2021-02-08,-4.416968492848561e-05
2021-02-09,2.3613767660135565e-05
2021-02-10,-2.08351853497879e-05
2021-02-11,1.3890412975392508e-06
2021-02-12,2.2780245637621377e-05
2021-02-16,1.1112024767001571e-06
2021-02-17,1.1112012419101092e-06
2021-02-18,2.0835000133390125e-05
